customer_id,customer_name,email,city,state,signup_date,customer_status
1001,Aarav Sharma,Aarav.Sharma@gmail.com,Aurangabad,Maharashtra,2025-01-05,active
1002,Diya Patel,diya.patel@gmail.com,Ahmedabad,Gujarat,2025-01-07,active
1003,Rohan Kulkarni,rohan.k@gmail.com,Pune,Maharashtra,2025-01-10,active
1004,Sneha Iyer,sneha.iyer@gmail.com,Bengaluru,Karnataka,2025-01-12,active
1005,Kabir Mehta,kabir.mehta@gmail.com,Delhi,Delhi,2025-01-18,inactive
1006,Meera Nair,meera.nair@gmail.com,Kochi,Kerala,2025-02-02,active
1007,Vikram Singh,vikram.singh@gmail.com,Jaipur,Rajasthan,2025-02-14,active
1008,Ananya Rao,ananya.rao@gmail.com,Hyderabad,Telangana,2025-02-20,active
1009,Ishaan Shah,ishaan.shah@gmail.com,Surat,Gujarat,2025-03-01,active
1010,Neha Joshi,neha.joshi@gmail.com,Mumbai,Maharashtra,2025-03-04,active
